event_id,title,start,end,date_precision,event_type,city,track_ids,claim_ids,status,summary,boundary
AZ-EVT-0001,ABA Winter Nationals — Chandler Jaycees BMX era,1979,1983,RANGE / PERIOD REPORT,National event series,Chandler,"[""AZ-TRK-0102""]","[""AZ-PUB-0048""]",PERIOD_VERIFIED,"BMX Plus! reported that, in the early ABA years, roughly 1979–1983, the Winter Nationals was held at Chandler Jaycees BMX in Chandler.",The period source supports the event-series venue and approximate range. It does not close the Chandler Jaycees ↔ current Chandler BMX identity/site question.
AZ-EVT-0002,ABA Winter Nationals — Scottsdale Jaycees Rodeo BMX Park,1986,1986,YEAR,National event,Scottsdale,"[""AZ-TRK-0103""]","[""AZ-PUB-0049""]",PERIOD_VERIFIED,BMX Plus! said the 1986 Winter Nationals found a new home at ABA Scottsdale Jaycees Rodeo BMX Park.,Venue/year are period-supported. Exact street location and later lineage remain open.
AZ-EVT-0025,First races at new Navajo County Fairgrounds BMX facility,1989-10-07,1989-10-07,EXACT DAY / PERIOD NEWSPAPER,Local opening-era race,Holbrook,"[""AZ-TRK-0124""]","[""AZ-PUB-0098""]",PERIOD_VERIFIED,Period Tribune-News reporting says the first BMX races were held at the newly completed facility at the Navajo County Fairgrounds in Holbrook.,The newspaper supports the new-facility/opening-era race and fairgrounds property; it does not establish the exact track-center coordinate or later formal name-transition date.
AZ-EVT-0003,Redline Cup qualifier — Manzanita BMX Raceway,2003-05-31,2003-05-31,EXACT DAY,Qualifier,Tucson,"[""AZ-TRK-0113""]","[""AZ-PUB-0059""]",DATED_EVENT_VERIFIED,A 2003 Redline Cup schedule listed Manzanita BMX Raceway in Tucson as a May 31 qualifier host.,"This proves the dated qualifier listing, not the full operating span or exact historical track footprint."
AZ-EVT-0004,Manzanita BMX Raceway sanctioned race,2008-04-02,2008-04-02,EXACT DAY,Sanctioned race,Tucson,"[""AZ-TRK-0113""]","[""AZ-PUB-0059"", ""AZ-PUB-0097""]",OFFICIAL_RESULT_VERIFIED,"An official sanctioning-body event record preserves race results from Manzanita BMX Raceway in Tucson on April 2, 2008.",The result establishes a dated occurrence. It does not establish the track's full operating chronology.
AZ-EVT-0024,Manzanita BMX Raceway Corben Sharrah special race,2011-06-05,2011-06-05,EXACT DAY,Special BMX race / rider recognition,Tucson,"[""AZ-TRK-0113""]","[""AZ-PUB-0094""]",C1_DATED_EVENT_SITE_VERIFIED,"A dated Tucson family-events notice advertised a special BMX race honoring Corben Sharrah at Manzanita BMX Raceway, 5200 S Westover Ave.","The event notice establishes the dated event, track name and street address. It does not prove exact track-center geometry, full operating span or continuity with RAM BMX or later Tucson track identities."
AZ-EVT-0005,Olympic Day — Desert Sunset BMX,2013-06-23,2013-06-23,EXACT DAY,Olympic Day,Tucson,"[""AZ-TRK-0112""]","[""AZ-PUB-0058""]",A1_DATED_EVENT,"USA BMX listed Desert Sunset BMX in Tucson for Olympic Day on June 23, 2013.",The official event listing does not prove uninterrupted operation from the 2003 municipal lease through 2013.
AZ-EVT-0006,Olympic Day — Sara Park BMX Raceway,2013-06-27,2013-06-27,EXACT DAY,Olympic Day,Lake Havasu City,"[""AZ-TRK-0111""]","[""AZ-PUB-0057""]",A1_DATED_EVENT,"USA BMX listed Sara Park BMX Raceway in Lake Havasu City for an Olympic Day race on June 27, 2013.",This does not establish the exact rename/continuity path to current Lake Havasu City BMX.
AZ-EVT-0027,Lake Havasu City BMX renaming ceremony,2018-09-20,2018-09-20,EXACT DAY,Municipal / track identity transition,Lake Havasu City,"[""AZ-TRK-0111"", ""AZ-TRK-0007""]","[""AZ-PUB-0096""]",A2_MUNICIPAL_VERIFIED,Lake Havasu City minutes document a September 20 BMX-track renaming ceremony and state that the new name would be Lake Havasu City BMX.,This closes the SARA Park → Lake Havasu City naming transition at the governed shared site; London Bridge → SARA Park remains open.
AZ-EVT-0007,Winter Nationals — Black Mountain BMX,2019,2019,YEAR / OFFICIAL REPORT,National event,Phoenix,"[""AZ-TRK-0002""]","[""AZ-PUB-0015""]",A1_EVENT_REPORT,USA BMX's 2019 Winter Nationals report documents a broad Arizona rider footprint at Black Mountain BMX.,The report supports the 2019 event ecosystem and named Arizona participation; it is not a timeless roster.
AZ-EVT-0008,Gold Cup Finals Southwest — Sports Park BMX,2020-10-16,2020-10-18,EXACT RANGE,Gold Cup regional final,Tucson,"[""AZ-TRK-0003""]","[""AZ-PUB-0013"", ""AZ-PUB-0014""]",A1_EVENT_VERIFIED,"USA BMX confirmed the 2020 Gold Cup Finals South West at Sports Park BMX in Tucson for October 16–18, 2020.",The event record and surviving Lititz plaque are separate evidence objects; the artifact does not replace the official event source.
AZ-EVT-0009,Route 66 Classic Nationals — High Desert 66 BMX,2021-05-07,2021-05-09,EXACT RANGE,National event,Kingman,"[""AZ-TRK-0104""]","[""AZ-PUB-0043"", ""AZ-PUB-0044"", ""AZ-PUB-0045""]",A1_EVENT_VERIFIED,"USA BMX announced the May 7–9, 2021 Route 66 Classic Nationals at High Desert 66 BMX and identified Harry Leary as Track Operator.",The event does not by itself prove exact organizational succession to current Interstate BMX.
AZ-EVT-0010,Arizona State Final Weekend — Sports Park / Chandler,2021-09-10,2021-09-12,EXACT RANGE,State series final weekend,Tucson / Chandler,"[""AZ-TRK-0003"", ""AZ-TRK-0001""]","[""AZ-PUB-0046"", ""AZ-PUB-0047"", ""AZ-PUB-0014""]",A1_EVENT_VERIFIED,The 2021 Arizona State Final Weekend ran from a Sports Park State Race on September 10 to Chandler's pre-race September 11 and State Final September 12.,This is one governed weekend record linking two tracks. It is not split into one event record per rider or award.
AZ-EVT-0012,Gold Cup Championship Southwest — Goodyear BMX Raceway,2023-10-13,2023-10-15,EXACT RANGE,Gold Cup regional championship,Goodyear,"[""AZ-TRK-0005""]","[""AZ-PUB-0065""]",A1_EVENT_VERIFIED,"USA BMX results document the Gold Cup Championship Southwest at Goodyear BMX Raceway from October 13–15, 2023.","The official result establishes event, dates and venue; it does not establish the track opening date or full major-event chronology."
AZ-EVT-0013,Gold Cup Final Southwest — Interstate BMX,2024-09-27,2024-09-29,EXACT RANGE,Gold Cup regional final,Kingman,"[""AZ-TRK-0010""]","[""AZ-PUB-0070""]",A1_EVENT_VERIFIED,"USA BMX listed the Gold Cup Final Southwest at Interstate BMX in Kingman for September 27–29, 2024.",The event does not establish exact organizational succession from High Desert 66 BMX.
AZ-EVT-0014,Colorado River BMX qualifier weekend,2025-03-08,2025-03-09,EXACT RANGE,State + Gold Cup qualifier weekend,Bullhead City,"[""AZ-TRK-0009""]","[""AZ-PUB-0068""]",A1_EVENT_VERIFIED,"Official records document a State Championship Qualifier on March 8 and Gold Cup Qualifier on March 9, 2025 at Colorado River BMX.",The two records establish consecutive qualifier dates; they do not define the full operating span.
AZ-EVT-0019,Sports Park BMX Gold Cup Qualifier,2025-03-15,2025-03-15,EXACT DAY,Gold Cup Qualifier,Tucson,"[""AZ-TRK-0003""]","[""AZ-PUB-0079""]",A1_RESULT_VERIFIED,"USA BMX results document a Gold Cup Qualifier at Sports Park BMX on March 15, 2025.",Dated event evidence only; no predecessor/successor relationship with other Tucson tracks is inferred.
AZ-EVT-0020,Lake Havasu City BMX State Race,2025-03-23,2025-03-23,EXACT DAY,State Race,Lake Havasu City,"[""AZ-TRK-0007""]","[""AZ-PUB-0074""]",A1_RESULT_VERIFIED,"USA BMX results document a State Race at Lake Havasu City BMX on March 23, 2025.",Dated event evidence only; historical identity continuity is not inferred.
AZ-EVT-0021,Sports Park BMX State Race,2026-01-25,2026-01-25,EXACT DAY,State Race,Tucson,"[""AZ-TRK-0003""]","[""AZ-PUB-0080""]",A1_RESULT_VERIFIED,"USA BMX results document a State Race at Sports Park BMX on January 25, 2026.",Dated event evidence only; opening date and lineage remain outside the claim.
AZ-EVT-0015,Yuma BMX qualifier weekend,2026-01-31,2026-02-01,EXACT RANGE,Gold Cup + State qualifier weekend,Yuma,"[""AZ-TRK-0006""]","[""AZ-PUB-0066""]",A1_EVENT_VERIFIED,"USA BMX listed a Gold Cup Qualifier on January 31 and State Championship Qualifier on February 1, 2026 at Yuma BMX.","This is a governed two-race weekend record, not a claim of national-event status."
AZ-EVT-0022,Lake Havasu City BMX State + Gold Cup qualifier weekend,2026-02-21,2026-02-22,EXACT RANGE,State + Gold Cup qualifier weekend,Lake Havasu City,"[""AZ-TRK-0007""]","[""AZ-PUB-0075""]",A1_EVENT_VERIFIED,Official USA BMX records document a State Championship Qualifier followed by a Gold Cup Qualifier at Lake Havasu City BMX.,The two-day event record does not close London Bridge / Sara Park identity or site-continuity questions.
AZ-EVT-0016,Colorado River BMX State Championship Qualifier,2026-03-07,2026-03-07,EXACT DAY,State Championship Qualifier,Bullhead City,"[""AZ-TRK-0009""]","[""AZ-PUB-0069""]",A1_EVENT_VERIFIED,"USA BMX documents a State Championship Qualifier at Colorado River BMX on March 7, 2026.",Dated event evidence only; uninterrupted operation is not inferred.
AZ-EVT-0023,Tucson BMX Race for Life,2026-04-10,2026-04-10,EXACT DAY,Race for Life,Tucson,"[""AZ-TRK-0004""]","[""AZ-PUB-0077""]",A1_RESULT_VERIFIED,"USA BMX results document a Race for Life at Tucson BMX on April 10, 2026.",Dated event evidence only; separate historical Tucson identities remain separate.
AZ-EVT-0017,Mingus Mountain BMX State Championship Qualifier,2026-06-27,2026-06-27,EXACT DAY,State Championship Qualifier,Prescott,"[""AZ-TRK-0008""]","[""AZ-PUB-0067""]",A1_EVENT_VERIFIED,"USA BMX documents a State Championship Qualifier at Mingus Mountain BMX (Wheelhouse) on June 27, 2026.",Dated event evidence only; opening date and prior-name history remain outside this claim.
