media_id,track_ids,title,media_class,rights_state,public_treatment,url,publisher,date_context,boundary,asset_metadata
AZ-MED-0001,AZ-TRK-0001,Chandler BMX — official USA BMX gallery,official track gallery,LINK_ONLY,LINK_ONLY,https://www.usabmx.com/tracks/az-chandler-bmx/gallery,USA BMX,current route / accessed 2026-08-20,Gallery may be viewed at the rights holder's site. No USA BMX image is copied into Arizona Connect.,{}
AZ-MED-0002,AZ-TRK-0002,Black Mountain BMX — official USA BMX gallery,official track gallery,LINK_ONLY,LINK_ONLY,https://www.usabmx.com/tracks/az-black-mountain%20bmx/gallery,USA BMX,current route / accessed 2026-08-20,"Gallery is linked, not mirrored or reproduced.",{}
AZ-MED-0003,AZ-TRK-0003,Sports Park BMX — official USA BMX gallery,official track gallery,LINK_ONLY,LINK_ONLY,https://www.usabmx.com/tracks/az-sports-park%20bmx/gallery,USA BMX,current route / accessed 2026-08-20,"Gallery is linked, not mirrored or reproduced.",{}
AZ-MED-0004,AZ-TRK-0004,Tucson BMX — official USA BMX gallery,official track gallery,LINK_ONLY,LINK_ONLY,https://www.usabmx.com/tracks/az-tucson-bmx/gallery,USA BMX,current route / accessed 2026-08-20,"Gallery is linked, not mirrored or reproduced.",{}
AZ-MED-0005,AZ-TRK-0005,Goodyear BMX Raceway — official USA BMX visual/news page,official track gallery/news,LINK_ONLY,LINK_ONLY,https://www.usabmx.com/tracks/az-goodyear-bmx-raceway,USA BMX,current route / accessed 2026-08-20,Official page contains gallery/news imagery. The Atlas links to it instead of copying the images.,{}
AZ-MED-0006,AZ-TRK-0006,Yuma BMX — official USA BMX gallery,official track gallery,LINK_ONLY,LINK_ONLY,https://www.usabmx.com/tracks/az-yuma-bmx/gallery,USA BMX,current route / accessed 2026-08-20,Gallery route is linked; images remain at the rights holder's site.,{}
AZ-MED-0007,AZ-TRK-0007,Lake Havasu City BMX — official USA BMX gallery,official track gallery,LINK_ONLY,LINK_ONLY,https://www.usabmx.com/tracks/az-lake-havasu-city-bmx/gallery,USA BMX,current route / accessed 2026-08-20,"Gallery is linked, not mirrored or reproduced.",{}
AZ-MED-0008,AZ-TRK-0008,Mingus Mountain BMX (Wheelhouse) — official USA BMX gallery route,official track gallery,LINK_ONLY,LINK_ONLY,https://www.usabmx.com/tracks/az-mingus-mountain-bmx-%28wheelhouse%29/gallery,USA BMX,current route / accessed 2026-08-20,Dynamic gallery route is linked. No imagery is copied.,{}
AZ-MED-0009,AZ-TRK-0009,Colorado River BMX — official USA BMX gallery route,official track gallery,LINK_ONLY,LINK_ONLY,https://www.usabmx.com/tracks/az-colorado-river-bmx/gallery,USA BMX,current route / accessed 2026-08-20,Dynamic gallery route is linked. No imagery is copied.,{}
AZ-MED-0010,AZ-TRK-0010,Interstate BMX — official USA BMX gallery,official track gallery,LINK_ONLY,LINK_ONLY,https://www.usabmx.com/tracks/az-interstate-bmx/gallery,USA BMX,current route / accessed 2026-08-20,Gallery route is linked. It does not visually prove High Desert 66 organizational succession.,{}
AZ-MED-0011,AZ-TRK-0001,Lititz BMX Artifact 26.0098 — 2021 Chandler BMX Arizona State Race first-place plaque,Lititz artifact photography,L1_INTERNAL_CONTROL,METADATA_AND_RECORD_LINK_ONLY,https://sites.google.com/view/lititzbmxinventorylist/home/26-0098,Lititz BMX,artifact image manifest v1.x,"Lititz governs the catalog record and image metadata, but the dataset rights notice does not grant blanket image-republication permission. Link to the artifact record; do not embed the image in this release.","{""filename"": ""26.0098-primary.jpg"", ""height"": 1021, ""sha256"": ""125261cc4c955ad2ad63ce4dac21ca3c2cedbfeefafda81255f1c92229137cec"", ""width"": 1272}"
AZ-MED-0012,AZ-TRK-0003,"Lititz BMX Artifact 26.0100 — 2020 Gold Cup Southwest Regional Championship plaque, Sports Park BMX",Lititz artifact photography,L1_INTERNAL_CONTROL,METADATA_AND_RECORD_LINK_ONLY,https://sites.google.com/view/lititzbmxinventorylist/home/26-0100,Lititz BMX,artifact image manifest v1.x,Catalog and checksum are controlled; reproduction remains separately rights-controlled.,"{""filename"": ""26.0100-primary.jpg"", ""height"": 769, ""sha256"": ""0aca6c4c5c30af7f167c1a39384bf3b54fca070d20c917d80823f38cc6164274"", ""width"": 612}"
AZ-MED-0013,AZ-TRK-0005,Lititz BMX Artifact 26.0088 — 2021 Goodyear Raceway BMX first-place tin,Lititz artifact photography,L1_INTERNAL_CONTROL,METADATA_AND_RECORD_LINK_ONLY,https://sites.google.com/view/lititzbmxinventorylist/home/26-0088,Lititz BMX,artifact image manifest v1.x,Catalog and checksum are controlled; reproduction remains separately rights-controlled.,"{""filename"": ""26.0088-primary.jpg"", ""height"": 725, ""sha256"": ""20c39c0adcae43dde2542f81495f4cedd499db9db476168f214f042ed257c9f2"", ""width"": 1026}"
AZ-MED-0014,AZ-TRK-0005,Lititz BMX Artifact 26.0089 — 2022 Goodyear Raceway BMX first-place Double Points tin,Lititz artifact photography,L1_INTERNAL_CONTROL,METADATA_AND_RECORD_LINK_ONLY,https://sites.google.com/view/lititzbmxinventorylist/home/26-0089,Lititz BMX,artifact image manifest v1.x,Catalog and checksum are controlled; reproduction remains separately rights-controlled.,"{""filename"": ""26.0089-primary.jpg"", ""height"": 1128, ""sha256"": ""99d9f3d7b17e5ca1957f052f21cd1624f7a51aebdcfd937668756da7499a9276"", ""width"": 1320}"
AZ-MED-0015,AZ-TRK-0104,Lititz BMX Artifact 26.0009 — 2020 Arizona State Race first-place tin / High Desert 66 catalog link,Lititz artifact photography,L1_INTERNAL_CONTROL,METADATA_AND_RECORD_LINK_ONLY,https://sites.google.com/view/lititzbmxinventorylist/home/26-0009,Lititz BMX,artifact image manifest v1.x / Atlas worklog,Lititz's catalog identifies the object; external event/location interpretation remains separately source-governed. Image is not embedded in this release.,"{""filename"": ""26.0009-primary.jpg"", ""height"": 1354, ""sha256"": ""18584397e7ae165be48931744e39f63855c9044b4bb7e5bb3e5075ce93c8b3dc"", ""width"": 1320}"
AZ-MED-0016,AZ-TRK-0102; AZ-TRK-0103,BMX Plus! June 1987 — Chandler Jaycees / Scottsdale Jaycees Winter Nationals period source,period publication visual source,LINK_ONLY,LINK_ONLY,https://previouspage.co.uk/magazines/BMX%20Plus/issues/242-june-nineteen-eighty-seven,BMX Plus! / Previous Page access route,June 1987,Use the period source for evidence and visual inspection. Do not mirror scans or treat publication access as image-reuse permission.,{}
AZ-MED-0017,AZ-TRK-0104,USA BMX — 2021 Route 66 Classic at High Desert 66 BMX,official event article/media route,LINK_ONLY,LINK_ONLY,https://www.usabmx.com/news-and-media/6/2021-03-30/2021-USA-BMX-National-Series-Heads-to-High-Desert-66-BMX?id=1883,USA BMX,2021-03-30,Article/media route may be inspected at USA BMX. No article imagery is copied into the Atlas.,{}
AZ-MED-0018,AZ-TRK-0111,RiverScene Magazine — Exploring Havasu: Sara Park BMX Raceway,local-history article/media route,LINK_ONLY,LINK_ONLY,https://riverscenemagazine.com/exploring-havasu-sara-park-bmx-raceway/,RiverScene Magazine,retrospective local-history route,Useful visual/local-history route; photography remains with the publisher/rights holder and is not reproduced here.,{}
AZ-MED-0019,AZ-TRK-0007; AZ-TRK-0111,Patrick Tinnell Balance Bike Track — official Lake Havasu City BMX page,official local-history/media page,LINK_ONLY,LINK_ONLY,https://www.usabmx.com/tracks/az-lake-havasu-city-bmx/pages/2412,USA BMX / Lake Havasu City BMX,current official retrospective page,Use as an official local-history/media route. Do not copy page images into the Atlas.,{}
